station,lat,lon,n_years_ok,total_hours,common_hours,has_valid_month_1pt_fixed12,has_valid_month_2pt_fixed_00_12,has_valid_month_1pt_daily_mean,has_valid_month_2pt_dynamic,has_valid_month_baseline,has_valid_month_scaled
00702699999,0.0,0.0,2,1969,0,False,False,False,False,False,False
00707099999,0.0,0.0,1,18,0,False,False,False,False,False,False
00841199999,8.2,134.6,1,13,0,False,False,False,False,False,False
00841499999,31.0,61.9,1,12,0,False,False,False,False,False,False
00841599999,7.3,134.2,2,26,0,False,False,False,False,False,False
00841899999,3.0,131.8,1,12,0,False,False,False,False,False,False
01001099999,70.9333333,-8.6666667,6,51956,25700,True,True,True,True,True,True
01001499999,59.791925,5.34085,6,21897,32,True,False,True,True,True,True
01002099999,80.05,16.25,6,42208,23621,True,True,True,True,True,True
01003099999,77.0,15.5,6,47174,0,False,False,False,False,False,False
01006099999,78.25,22.8166666,6,45203,23958,True,True,True,True,True,True
01007099999,78.9166666,11.9333333,6,48188,28435,True,True,True,True,True,True
01008099999,78.246111,15.465556,6,52411,30359,True,True,True,True,True,True
01009099999,80.65,25.0,6,43799,0,False,False,False,False,False,False
01010099999,69.2925,16.144167,6,52534,0,False,False,False,False,False,False
01011099999,80.0666666,31.5,6,45061,18130,True,True,True,True,True,True
01015099999,69.6,17.8333333,6,47718,0,False,False,False,False,False,False
01016099999,78.9333333,28.9,6,46721,23240,True,True,True,True,True,True
01017099999,77.6833333,14.7833333,6,46468,0,False,False,False,False,False,False
01020099999,76.4833333,16.55,6,39820,0,False,False,False,False,False,False
01023099999,69.055758,18.540356,6,52421,39030,True,True,True,True,True,True
01023199999,64.35,7.8,6,30729,0,False,False,False,False,False,False
01024099999,78.65,16.3666666,6,43561,23241,True,True,True,True,True,True
01025099999,69.683333,18.918919,6,52495,48063,True,True,True,True,True,True
01026099999,69.65,18.9333333,6,51559,0,False,False,False,False,False,False
01027099999,69.65,18.9,6,51693,0,False,False,False,False,False,False
01028099999,74.5166667,19.0166667,6,50819,25389,True,True,True,True,True,True
