station,lat,lon,n_years,years
00702699999,0.0,0.0,2,2016;2017
00707099999,0.0,0.0,1,2015
00841199999,8.2,134.6,1,2016
00841499999,31.0,61.9,1,2016
00841599999,7.3,134.2,2,2016;2020
00841899999,3.0,131.8,1,2016
01001099999,70.9333333,-8.6666667,6,2015;2016;2017;2018;2019;2020
01001499999,59.791925,5.34085,6,2015;2016;2017;2018;2019;2020
01002099999,80.05,16.25,6,2015;2016;2017;2018;2019;2020
01003099999,77.0,15.5,6,2015;2016;2017;2018;2019;2020
01006099999,78.25,22.8166666,6,2015;2016;2017;2018;2019;2020
01007099999,78.9166666,11.9333333,6,2015;2016;2017;2018;2019;2020
01008099999,78.246111,15.465556,6,2015;2016;2017;2018;2019;2020
01009099999,80.65,25.0,6,2015;2016;2017;2018;2019;2020
01010099999,69.2925,16.144167,6,2015;2016;2017;2018;2019;2020
01011099999,80.0666666,31.5,6,2015;2016;2017;2018;2019;2020
01015099999,69.6,17.8333333,6,2015;2016;2017;2018;2019;2020
01016099999,78.9333333,28.9,6,2015;2016;2017;2018;2019;2020
01017099999,77.6833333,14.7833333,6,2015;2016;2017;2018;2019;2020
01020099999,76.4833333,16.55,6,2015;2016;2017;2018;2019;2020
01023099999,69.055758,18.540356,6,2015;2016;2017;2018;2019;2020
01023199999,64.35,7.8,6,2015;2016;2017;2018;2019;2020
01024099999,78.65,16.3666666,6,2015;2016;2017;2018;2019;2020
01025099999,69.683333,18.918919,6,2015;2016;2017;2018;2019;2020
01026099999,69.65,18.9333333,6,2015;2016;2017;2018;2019;2020
01027099999,69.65,18.9,6,2015;2016;2017;2018;2019;2020
01028099999,74.5166667,19.0166667,6,2015;2016;2017;2018;2019;2020
01030099999,69.2833333,18.1333333,6,2015;2016;2017;2018;2019;2020
01030399999,69.7,19.0166666,1,2015
01033099999,70.25,19.5,6,2015;2016;2017;2018;2019;2020
01035099999,69.5666666,20.1,6,2015;2016;2017;2018;2019;2020
01036099999,69.5666666,20.4333333,6,2015;2016;2017;2018;2019;2020
01037099999,69.3833333,20.2833333,6,2015;2016;2017;2018;2019;2020
01042099999,70.6,22.45,6,2015;2016;2017;2018;2019;2020
01043099999,70.4166666,22.8166666,6,2015;2016;2017;2018;2019;2020
01044099999,70.486675,22.139744,6,2015;2016;2017;2018;2019;2020
01045099999,69.8333333,21.8833333,6,2015;2016;2017;2018;2019;2020
01046099999,69.786839,20.959444,6,2015;2016;2017;2018;2019;2020
01047099999,69.0166667,23.0666667,6,2015;2016;2017;2018;2019;2020
01049099999,69.976111,23.371667,6,2015;2016;2017;2018;2019;2020
01052099999,70.6833333,23.6833333,6,2015;2016;2017;2018;2019;2020
01055099999,71.1,23.9833333,6,2015;2016;2017;2018;2019;2020
01057099999,69.3666666,24.4333333,6,2015;2016;2017;2018;2019;2020
01058099999,69.5666666,23.5333333,6,2015;2016;2017;2018;2019;2020
01059099999,70.068814,24.973489,6,2015;2016;2017;2018;2019;2020
01062099999,76.5,25.0666667,6,2015;2016;2017;2018;2019;2020
